채널,동영상 이름,업로드 시간,조회수,언급된 종목,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
정보의 바다,"애플 기아차관련주 엔브이에이치코리아,구영테크,KB오토시스,덕양산업,AP위성,이트론,이화전기,이아이디 등",2021-02-04 07:52:34+00:00,0,AP위성,1866607,2786796,11825,14575
슈아건TV,"[주식] 계절테마, 봄 황사 미세먼지 관련주 지금부터 준비! 자리가 좋은 여섯 종목 선정 1)위니아딤채 2)디에이치피코리아 3)위닉스 4)삼일제약 5)JW중외제약 6)하츠",2020-11-11 13:27:47+00:00,772,JW중외제약,10787,29114,31270.33333,31294.66667
정보의 바다,"애플 기아차관련주 엔브이에이치코리아,구영테크,KB오토시스,덕양산업,AP위성,이트론,이화전기,이아이디 등",2021-02-04 07:52:34+00:00,0,KB오토시스,5551,577298,8633.333333,14400
주식생성기,"[주식] 역대 최장, 최악 장마 홍수! 무조건 대장주를 잡아라! M&amp;A 황제주 공개! (폐기물처리,인선이엔티,와이엔텍,KGETS,제넨바이오,태영건설,KC그린홀딩스)",2020-08-09 11:47:40+00:00,1010,KC그린홀딩스,13195,189286,4337.5,4466.666667
콕스톡TV,"[주식][특징주][탄소배출권 관련주]휴켐스, KC코트렐, 한솔홈데코, 에코프로, 그린케미칼",2021-01-20 03:00:42+00:00,441,KC코트렐,272252,525865,11550,11800
장뚱샘TV- 주식20년 초고수가 나타났다!,"[세력차트] &quot;탄소배출권관련주&quot;, 에코프로, KC코트렐, 에코바이오, 세종공업, 한솔홈데코, 후성",2021-01-07 23:00:00+00:00,1778,KC코트렐,2050171,404360,12383.33333,11541.66667
수급무사TV 주식경제연구소,【그린케미칼】 친환경 주도주 주가분석 (feat. KC코트렐) | 탄소배출권 온실가스 바이든 그린뉴딜 관련주,2020-12-16 09:26:22+00:00,564,KC코트렐,398607,486019,11675,11450
소확재테크.d동동이형아b,"주식) 바이든 공약, 탄소배출권 관련주: 세종공업, KC코트렐, 에코바이오, 이건산업, 한솔홈데코, 휴켐스, 에코프로",2020-11-09 12:14:45+00:00,1265,KC코트렐,5723986,1523136,12000,11608.33333
최종원의 주식 밀착 취재,"[최강주] 탄소배출권 관련주 지금 사도 돼요? - KC코트렐,후성",2020-11-08 22:51:31+00:00,1917,KC코트렐,1564867,5723986,8668.333333,12000
그 돈으로 뭐하니?,"[주식한잔]  방향잡는 미국대선! 이번주 단기공략! KC코트렐, 탄소배출권 관련주, 모더나관련주, 화이자 관련주",2020-11-08 11:41:44+00:00,1807,KC코트렐,1564867,5723986,8668.333333,12000
주식으로 슈퍼직장인,"[박정호] 호빵 관련주 &quot;SPC삼립&quot; 살펴보기 (겨울관련주, 미니 호빵 찜기, 호찜이)",2020-10-20 08:47:47+00:00,897,SPC삼립,12092,13571,63650,67033.33333
진검승부-,[주식투자-2020.08.11] 장마/홍수 수혜주 추가 상승 가능성과 서울시장 선거 관련주 분석(#효성오앤비 #자연과환경 #조비 #경농 #나경원 #박원순 #정몽준 #정치테마주),2020-08-11 13:53:59+00:00,1197,경농,482303,204557,18258.33333,17883.33333
진검승부-,"[주식투자-2020.08.10] 현대차 급등 이유/홍수,장마 수혜주 분석/서울시장 선거 관련주(#조비 #장마 #홍수 #경농 #효성오앤비 #폐기물 #4대강관련주 #이낙연 #이재명)",2020-08-10 13:49:37+00:00,1208,경농,4501392,482303,17841.66667,18258.33333
주식자동매매주식몰,2020.08.10 주식자동매매프로그램 오토핫키 장마 태풍 관련주 경농 효성오앤비 주가 포착(주식몰),2020-08-10 01:36:34+00:00,572,경농,4501392,482303,17841.66667,18258.33333
외인잡는개미,농약 비료 제습기 관련주 종목추천 (경농 조비 남해화학 위닉스),2020-08-09 06:00:06+00:00,647,경농,317576,4501392,16041.66667,17841.66667
주식강행,"누구든 쉽게 따라할 수 있는 사계절테마 (봄 &amp; 가을 - 오공, 웰크론, 모나리자. 여름테마주 - 와이엔텍, 파세코, 신일전자, 배럴, 하이트진로. 겨울테마주 - 경동나비엔 )",2020-05-05 06:27:35+00:00,2066,경동나비엔,8043,5124,35608.33333,36466.66667
주식경제송매도,"겨울관련주 준비하자 신일산업,경동나비엔",2019-10-15 05:04:23+00:00,525,경동나비엔,15037,16777,43750,44175
주식X파일,"조류독감 관련주 총정리 - 겨울의 불청객 조류독감 관련주 매매시나리오 - 백신주,수산주,제일바이오,고려제약,이글벳,신라에스지,동원수산,",2020-02-04 00:40:41+00:00,0,고려제약,282050,185095,8275,8583.333333
