조회수,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가,라벨
91.0,3609842.0,4777998.999999999,27089.5,32306.16666666667,1
91.0,1379908.0,486059.0,39508.333333333336,42066.66666666666,1
91.0,3503106.0,1833313.0,6485.0,7056.666666666668,1
91.0,763261.0,1732396.9999999998,3968.333333333334,4158.333333333333,1
1280.0,1040103.0,183576.0,1213.3333333333333,1149.1666666666667,1
1280.0,37331.0,26902.0,15233.333333333336,15341.666666666664,0
1280.0,776229.0,72540.99999999999,13750.0,12900.0,1
1280.0,22502.0,7020.0,2720.0,2663.333333333333,0
1351.0,13950.0,5204499.999999999,1898.333333333333,2286.6666666666665,1
1351.0,29414.0,776229.0,12725.0,13750.0,1
1351.0,21347.0,473146.00000000006,9395.0,9795.0,1
658.0,8759.0,6695.0,7135.0,7235.0,0
1351.0,49557.0,40408.000000000015,3207.5,3420.0,1
0.0,57851.0,40608.0,4690.833333333333,4673.333333333333,0
0.0,128468.0,286434.0,4967.666666666667,5261.666666666667,1
0.0,176352.0,68286.99999999999,3320.0,3358.333333333333,0
0.0,364140.0,172480.00000000006,6236.666666666668,6266.666666666668,0
724.0,1734202.0,609742.0000000001,6008.333333333332,5730.0,1
290.0,87068.0,95202.0,17641.666666666668,18450.0,1
290.0,81822.0,22835.000000000004,16275.0,16291.666666666664,0
290.0,482608.0,1191944.0,30800.0,32250.0,1
290.0,620430.0,520903.00000000006,1655.833333333333,1738.333333333333,1
290.0,65403.0,371217.0,14300.0,15441.666666666664,1
0.0,4143764.0,15651949.999999998,2448.333333333333,3424.166666666666,1
0.0,468812.0,720468.0,11175.0,12566.666666666664,1
0.0,39049.0,2037372.0,6013.333333333332,8410.0,1
0.0,1400967.0,1070651.0000000002,4760.0,5073.333333333333,1
2405.0,1040871.0,1042037.0,16758.333333333332,19808.33333333333,1
2405.0,56132.0,34416.0,22200.0,21558.33333333333,0
2405.0,104417.0,99168.0,44058.33333333334,43866.66666666666,0
2405.0,415475.0,193915.00000000003,3024.166666666666,2953.333333333333,0
2405.0,306138.0,318681.0,3695.833333333334,3660.0,0
51.0,9484816.0,803751.9999999999,6353.333333333332,5991.666666666668,1
51.0,425831.0,261519.0,41156.333333333336,41262.333333333336,0
51.0,37974.0,14647.999999999998,254863.5,254045.5,0
