언급된 종목,조회수,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가,업로드시간,Unnamed: 7,구독자,상장주식수,업로드 시간 원본,Unnamed: 11,주가 변화율,거래량 변화율,라벨1
피앤이솔루션,3393,289803,114267,19525.0,19483.33333,2020-06-29 오후 1,2020-06-29,151000,14818910,2020-06-29 오후 1:29:40,오후 1:29:40,0.002134016389244492,0.6057080154449747,0
LG전자,462166,744664,683882,176583.3333,178750.0,2021-01-25 오후 9,2021-01-25,1240000,163647814,2021-01-25 오후 9:48:51,오후 9:48:51,0.01226993884139122,0.08162338987785095,0
카카오게임즈,8707,771300,978696,57816.666670000006,57466.666670000006,2020-09-22 오후 2,2020-09-22,151000,74116629,2020-09-22 오후 2:16:16,오후 2:16:16,0.006053617756929742,0.26889148191365225,0
유유제약,3655,604339,956557,17491.66667,17100.0,2020-07-27 오후 4,2020-07-27,151000,8035247,2020-07-27 오후 4:29:19,오후 4:29:19,0.022391615241087758,0.5828152742086808,0
삼성전자,227706,7607314,4682789,72466.66667,72350.0,2020-12-07 오후 6,2020-12-07,1240000,5969782,2020-12-07 오후 6:47:37,오후 6:47:37,0.0016099356485000853,0.3844359520324782,0
삼성전자,167218,7467012,6790933,67483.33333,67916.66667,2020-11-24 오후 7,2020-11-24,191000,5969782,2020-11-24 오후 7:51:31,오후 7:51:31,0.0064213387012311655,0.09054210707040514,0
삼성중공업,167218,24405335,7875621,7128.333333,6856.666667,2020-11-24 오후 7,2020-11-24,191000,630000000,2020-11-24 오후 7:51:31,오후 7:51:31,0.03811082525312642,0.6772992052762234,0
만도,59525,455154,581979,41208.33333,45433.33333,2020-11-15 오후 3,2020-11-15,191000,46957120,2020-11-15 오후 3:52:10,오후 3:52:10,0.10252780587280305,0.2786419541517816,1
삼성물산,87222,1221448,424223,118666.6667,113000.0,2020-10-27 오후 3,2020-10-27,191000,186887081,2020-10-27 오후 3:52:09,오후 3:52:09,0.04775280925624922,0.6526884484644455,1
서울반도체,16295,1760830,681420,19333.33333,19783.33333,2020-10-13 오후 5,2020-10-13,191000,58305400,2020-10-13 오후 5:03:28,오후 5:03:28,0.023275862072978597,0.6130120454558362,0
미래에셋대우,10938,353494,575966,9855.0,9780.0,2021-02-05 오전 1,2021-02-05,1170000,645316408,2021-02-05 오전 12:43:39,전 12:43:39,0.0076103500761035,0.6293515590080737,0
이베스트투자증권,117823,188616,177701,7030.0,7231.666667,2021-02-04 오전 1,2021-02-04,1170000,55481190,2021-02-04 오전 10:17:37,전 10:17:37,0.028686581365576162,0.05786889765449379,0
미래에셋대우,7703,586617,353494,9988.333333,9855.0,2021-02-04 오전 1,2021-02-04,1170000,645316408,2021-02-04 오전 12:31:29,전 12:31:29,0.013348907025307872,0.3974023937253779,0
미래에셋대우,6267,586617,353494,9988.333333,9855.0,2021-02-04 오전 1,2021-02-04,1170000,645316408,2021-02-04 오전 12:24:58,전 12:24:58,0.013348907025307872,0.3974023937253779,0
유안타증권,45408,161283,29318,3236.666667,3197.5,2021-02-03 오후 8,2021-02-03,1170000,199596576,2021-02-03 오후 8:03:30,오후 8:03:30,0.01210092698124603,0.8182201471946826,0
이베스트투자증권,170350,21712,188616,6838.333333,7030.0,2021-02-03 오전 1,2021-02-03,1170000,55481190,2021-02-03 오전 10:27:04,전 10:27:04,0.02802827204621153,7.687177597641857,0
LG화학,48679,115334,105173,982666.6667,991666.6667,2021-02-03 오전 1,2021-02-03,1170000,70592343,2021-02-03 오전 10:19:21,전 10:19:21,0.009158751695754452,0.08810064681707042,0
이베스트투자증권,48679,21712,188616,6838.333333,7030.0,2021-02-03 오전 1,2021-02-03,1170000,55481190,2021-02-03 오전 10:19:21,전 10:19:21,0.02802827204621153,7.687177597641857,0
교보증권,37250,7792,28156,7550.0,7596.666667,2021-02-03 오전 1,2021-02-03,1170000,64653296,2021-02-03 오전 10:09:04,전 10:09:04,0.006181015496688797,2.6134496919917862,0
미래에셋대우,8460,413172,586617,9865.0,9988.333333,2021-02-03 오전 1,2021-02-03,1170000,645316408,2021-02-03 오전 12:54:46,전 12:54:46,0.012502111809427318,0.41978885306845576,0
대신증권,52261,5280,10497,12416.66667,12608.33333,2021-02-02 오후 8,2021-02-02,1170000,50773400,2021-02-02 오후 8:06:40,오후 8:06:40,0.015436241069681462,0.9880681818181818,0
이베스트투자증권,159116,23758,21712,6756.666667,6838.333333,2021-02-02 오전 1,2021-02-02,1170000,55481190,2021-02-02 오전 10:31:18,전 10:31:18,0.012086827725106594,0.08611836013132418,0
교보증권,42816,30058,7792,7401.666667,7550.0,2021-02-02 오전 1,2021-02-02,1170000,64653296,2021-02-02 오전 10:16:32,전 10:16:32,0.020040531365906698,0.7407678488256039,0
교보증권,60867,30058,7792,7401.666667,7550.0,2021-02-02 오전 1,2021-02-02,1170000,64653296,2021-02-02 오전 10:09:51,전 10:09:51,0.020040531365906698,0.7407678488256039,0
미래에셋대우,11205,579183,413172,9531.666667,9865.0,2021-02-02 오전 1,2021-02-02,1170000,645316408,2021-02-02 오전 12:33:52,전 12:33:52,0.034971148766044076,0.2866296144741817,0
SK증권,72428,1430380,1618717,834.0,864.1666667000002,2021-02-01 오후 8,2021-02-01,1170000,472590171,2021-02-01 오후 8:30:21,오후 8:30:21,0.036171063189448655,0.13166920678421118,0
유안타증권,26179,72870,94048,2982.5,3131.666667,2021-02-01 오후 8,2021-02-01,1170000,199596576,2021-02-01 오후 8:09:03,오후 8:09:03,0.050013970494551536,0.2906271442294497,1
삼성전자,214213,7939788,5180893,81766.66667,84250.0,2021-02-01 오후 7,2021-02-01,1170000,5969782,2021-02-01 오후 7:35:54,오후 7:35:54,0.030370974275158058,0.34747716185872973,0
